actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Neil Morrissey,89,1,0
Daniel Franzese,50,1,0
Gérard Philipe,36,2,2
Ernie Allo,1,0,0
John Pinette,25,1,1
Julia Jentsch,43,7,11
Jean Yanne,100,3,2
Chaz Bono,14,2,2
Beren Saat,11,1,0
Josef Hader,38,14,6
Clotilde Courau,49,4,5
Marilyn Monroe,33,11,8
Yeong-il Oh,32,0,0
Agyness Deyn,15,2,0
Szabolcs Hajdu,22,10,20
Valentinas Masalskis,28,1,1
Mirja Mane,5,0,0
Duobuji,9,3,1
Hilary Duff,72,27,19
Natar Ungalaaq,14,5,5
Martin Landau,175,24,30
Esa Saario,54,0,0
Robin Tunney,50,4,3
Scarlett Johansson,64,140,43
Edie Sedgwick,17,0,0
N.N. Pillai,4,0,0
Anna Kovalchuk,13,2,0
Anne Bancroft,86,39,15
Robert Lamoureux,41,0,0
Walter Slezak,96,0,0
Katharina Meinecke,44,0,0
Jesus Nebot,30,3,4
John Terlesky,43,0,0
Marie Denarnaud,68,0,0
Andrew Dice Clay,39,4,1
Stephen Graham,98,7,5
Stacey Asaro,4,0,0
Eitan Anshel,4,0,0
Spencer Locke,43,1,0
Amanda Detmer,58,0,0
Micky Flanagan,2,1,0
Sean Penn,66,108,73
Cameron Bender,51,0,0
Yerbolat Yerzhan,1,0,0
Khan Baykal,30,0,0
Kaya Scodelario,23,8,1
Greg Collins,163,0,0
Charlie Rowe,13,0,0
Ney Latorraca,70,1,5
Viktor Nemetz,14,0,0
Peter Gallagher,99,5,3
Michel Simon,111,3,3
Stanislav Lyubshin,69,2,2
Dylan O'Brien,16,6,12
Tim Van Patten,16,35,16
Alex Skarbek,14,1,2
Chuck Conners,135,2,2
Lola Naymark,29,1,2
Zoe Barker,8,0,0
David W. Ross,8,6,6
Jackie Stewart,1,0,0
Sarah Colonna,17,0,0
Julie Walters,99,44,25
Annie Cordy,77,1,0
Lucia Bosé,59,2,4
Lew Ayres,155,2,4
Tabrett Bethell,12,1,0
Alison Doody,32,0,0
Oleg Anofriev,74,1,1
Lal,360,9,28
Tsutomu Isobe,60,0,0
Marlene Dietrich,57,3,5
Franz Marijnen,1,0,0
Aries Spears,35,0,0
Henry Silva,138,0,0
Jerzy Skolimowski,24,23,26
Paz de la Huerta,50,1,1
Daniel Letterle,5,1,1
Justin Theroux,58,6,1
Angela Lansbury,112,57,29
Gary Graham,107,0,0
Brigid Berlin,14,0,0
Lorraine De Selle,26,0,0
Paul Hogan,14,5,8
Jackée Harry,86,3,4
Mel Welles,108,0,0
Rick Giovinazzo,1,0,0
Anneli Sauli,61,1,1
Noah Ringer,3,1,0
Annie Heise,17,0,0
Alexander Fehling,27,12,4
Bryant Weeks,3,0,0
Laureano Olivares,30,1,1
Nadine Van der Velde,21,12,3
Tereza Zajickova,14,1,1
Garrison Keillor,11,21,3
Michael Brodie,1,0,0
Ricky Jay,39,2,6
James Balog,1,0,0
Joseph Cotten,132,2,2
Paul Anderson,30,0,0
Howard Webb,1,0,0
Tommy Kirk,54,0,0
Regina Lund,48,1,0
Dawid Ogrodnik,20,2,6
Nikki Blonsky,16,15,9
Jerry Falwell,1,0,0
Sophie Turner,13,9,1
Gillian Anderson,61,76,28
Kenneth Branagh,67,63,36
Roberto Benigni,30,43,59
George Eastman,60,0,0
Steven Eckholdt,85,1,1
Paula Vesala,10,1,0
Aldo Puglisi,22,0,0
Charles Manson,1,0,0
Wong Ching,84,2,2
Amanda Donohoe,58,2,1
Duane Martin,43,4,0
Heather Langenkamp,40,2,2
Preity Zinta,41,29,11
Ashok Selvan,14,0,0
Simone Signoret,72,10,13
Jonny Lee Miller,52,12,1
Jack Kao Kuo-Hsin,87,3,0
Martin Yost,1,0,0
Reggie Miller,6,0,0
Itay Tiran,19,2,0
Jon Jarocki,5,0,0
Pauline Collins,68,4,4
Ramasan Minkailov,1,0,0
John Ingle,105,1,1
Karim Abdel Aziz,21,1,1
José Saramago,1,2,2
Primo Gaburri,2,0,0
Gene Jones,33,4,1
Garik Kharlamov,21,1,1
Dana Ashbrook,65,2,0
Farhad Kheradmand,2,0,0
Travis Aaron Wade,38,0,0
Fereshteh Sadre Orafaiy,14,1,2
Meron Getnet,1,0,0
Jon Schnepp,20,1,0
Stephen Lang,126,10,6
Cyril Collard,5,4,8
Anita Briem,20,1,1
Adam Tønsberg,2,0,0
Pietro Cammarata,1,0,0
Ari-Kyösti Seppo,34,0,0
Cristina Raines,45,0,0
Ricardo Trêpa,42,0,0
Juanjo Menéndez,97,1,6
Aleksandr Adabashyan,46,5,2
Sarah Frangenberg,1,0,0
Darío Díaz,1,0,0
Carlos Echeverría,1,1,0
Tonko Bossen,18,0,0
Ohad Knoller,32,3,3
Nigel Barber,64,3,3
Adriana Caselotti,5,0,0
Logan Alexander,12,0,0
Kristos Andrews,16,5,9
Philippe Caubère,21,0,0
Tatyana Klyuyeva,4,0,0
Dan Rickard,3,1,1
Michael Reilly Burke,105,1,0
Unto Helo,4,0,0
Mark Ruffalo,67,113,32
LeAnn Rimes,13,4,3
Emin Toprak,5,3,3
Ronnie Hall,3,0,0
Damien Jouillerot,56,1,1
Elise Schaap,28,1,2
Peter Blok,54,1,1
David Paymer,158,7,4
Luigi Pisani,8,1,1
James Gunn,18,10,15
Javier Escrivá,59,3,3
Diana Bracho,89,3,2
Juha Veijonen,75,1,1
Oliver Cooper,24,2,0
Robert Glaudini,20,1,0
Jon Finch,65,0,0
Björn Hlynur Haraldsson,24,6,1
Jimmy Tsai,2,1,1
Anna Maria Barbera,9,2,0
Krešimir Mikić,56,1,1
Claus Holm,66,0,0
Sônia Braga,85,16,17
Lluís Homar,99,9,11
Zhang Yi-Shan,5,0,0
John Arcilla,76,13,5
Maria Kraakman,32,3,2
Cristina Marsillach,28,0,0
Eric Schaeffer,24,8,8
Joey Skaggs,1,0,0
Josh Brolin,70,50,12
Allison Williams,14,7,0
Miriam Margolyes,173,3,1
Marieta Severo,57,10,14
Lawrence Gray,45,0,0
LilRel Howery,21,6,2
Gabriele Ferzetti,167,2,4
Pachara Chirathivat,6,1,0
Buddy Hackett,54,1,1
Laurent Lucas,80,2,1
Magnus Krepper,82,1,2
Trevor Donovan,33,1,0
Sascha Kekez,10,0,0
Javier Cifrián,18,2,0
Meda Andreea Victor,9,1,0
Jack La Rue,143,0,0
Alison Sweeney,30,10,9
Sybille Schmitz,40,0,0
George Nader,72,4,1
Mariana Vargas,1,0,0
Kengo Kora,68,3,2
Jon Brion,2,18,5
Gig Young,87,8,6
Oh Man-seok,3,0,0
Özz Nûjen,16,1,0
Brian Blessed,172,1,1
Lee Tockar,191,8,2
Anders Matthesen,16,4,4
Joe Louis,10,0,0
Dennis Coffey,2,0,0
Marianne Farley,56,5,5
Segundo de Chomón,1,0,0
Rob Brown,14,5,4
Pascal Légitimus,80,1,1
Rob Paulsen,498,25,7
Christopher Mitchum,70,0,0
Mamadou Dioumé,15,0,0
Oksana Korostyshevskaya,6,0,0
Ray Panthaki,42,2,2
Mikhail Gorbachev,1,1,1
Thomas Jane,72,8,6
Reino Nordin,48,1,0
William Boyd,48,10,9
Adriana Solis,4,0,0
Vasilis Diamantopoulos,54,2,2
Maggie Lawson,51,0,0
Tatyana Shabelnikova,7,0,0
Lilli Palmer,103,7,9
John Archer,146,0,0
Suzanne Reuter,70,6,6
Patrice Townsend,2,0,0
Andrés Almeida,44,1,1
The Holy Modal Rounders,67,13,7
