actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Scott Baio,55,6,5
Ben Burtt,7,47,18
Birce Akalay,15,0,0
Elizabeth Mitchell,48,13,5
Charlotte Rampling,128,52,28
Anna Bolshova,17,0,0
Miles Teller,29,22,4
Russell Crowe,58,74,36
Danny McBride,52,14,2
Carey Mulligan,29,74,44
Willem Dafoe,126,65,70
Alex Pettyfer,20,6,4
Aubrey Peeples,21,0,0
Shereef Akeel,1,0,0
Michelle Williams,58,135,44
Anita Björk,61,1,1
Elisha Cuthbert,34,10,2
Roddy Piper,159,1,3
Claudette Colbert,79,4,7
Derek Luke,35,13,7
Eva Santolaria,33,2,2
Giuliano Gemma,102,2,8
Johnny Depp,91,143,79
Kate McNeil,62,1,1
Heike Makatsch,63,8,9
N!xau,5,0,0
Ray Stevenson,53,1,0
Sydney Greenstreet,23,2,2
Jason Lee,65,22,4
Michael Sheen,83,31,15
Leea Klemola,40,6,6
Rex Harrison,59,12,8
Richard Dutcher,26,4,4
Kevin Bacon,91,27,15
Götz George,126,12,28
Rain,17,3,2
Tom Schilling,59,13,10
Jon Hamm,90,84,18
Jack Lemmon,98,56,52
Kristen Wiig,97,68,13
Clifton Webb,27,4,5
Adam Greaves-Neal,8,0,0
Dominic Cooper,56,9,1
Mary Fuller,226,0,0
Nick Pickard,13,2,1
Trevante Rhodes,18,13,7
Ellen Muth,21,2,2
Greg Kinnear,69,20,13
Sigourney Weaver,84,53,29
Paige Turco,45,0,0
Corey Haim,47,7,2
Igor Petrenko,39,2,2
Nick Nolte,102,37,14
Richard Roundtree,152,5,3
Park Joong-hoon,38,6,6
Tom Laughlin,39,1,1
Sergei Makovetsky,85,13,9
Raquela Rios,6,0,0
Janne Hyytiäinen,39,0,0
Allison Hayes,64,0,0
Li Yu-Chun,8,6,0
Julianne Moore,94,156,113
Griffin Dunne,95,5,6
Jennifer Connelly,53,26,15
Omar Sharif,118,6,12
Hailee Steinfeld,37,44,25
Melissa George,52,9,5
Haley Bennett,25,1,0
DMX,32,9,1
Kevin Heffernan,38,0,0
Heikki Silvennoinen,34,0,0
Tygh Runyan,88,8,6
Sergey Svetlakov,15,6,2
Alan King,41,0,0
Aml Ameen,39,0,0
Horace B. Carpenter,397,0,0
Yang Ik-june,26,7,26
Jane Fonda,57,63,55
Taylor Schilling,16,14,9
Raoul Bova,77,6,7
Kate Bosworth,41,10,3
Bette Davis,123,24,26
Kit Harington,15,18,3
Javed Sheikh,100,1,1
Lauren Holly,97,14,4
Christine Hargreaves,55,0,0
Liu Ye,47,14,4
Sudeep,64,15,23
Tyrone Burton,13,1,0
Luis Tosar,105,28,38
Gong Li,35,17,23
Rory Culkin,35,9,2
Warren Oates,124,2,1
Paul Ben-Victor,162,0,0
James Dean,30,4,9
Rachel McAdams,36,51,23
Camilla Luddington,27,5,1
Jon Finch,65,0,0
Sanjay Dutt,160,22,14
Gordon MacRae,2,0,0
Jason Bateman,88,42,13
Christina Applegate,77,27,17
Aziz Naser,12,0,0
Ben Silverstone,9,2,0
Arjun Sarja,93,3,2
John Gielgud,134,27,16
Columbus Short,32,6,3
Theodore Roberts,106,1,1
Michael Nyqvist,94,7,6
Joshua Jackson,49,12,7
Bud Abbott,42,4,4
Victor Mature,56,1,1
Michael Clarke Duncan,99,16,5
Svetlana Khodchenkova,61,4,7
Tom Cruise,46,80,54
James Remar,169,9,2
Simon Chuckster,1,0,0
Steve Guttenberg,95,2,3
Sergey Shakurov,95,2,4
Jeremy Irons,92,32,30
Obba Babatundé,149,4,2
Bipasha Basu,65,16,4
Kåre Hedebrant,4,4,1
Patrick Wilson,51,18,4
Laura Ramsey,26,1,0
Rocky McKenzie,1,0,0
Victor Wong,38,0,0
Yvette Chauviré,8,0,0
David Carradine,237,15,13
Ray Wise,236,6,4
Miriam Margolyes,173,3,1
David Oyelowo,68,42,21
Kelan Pannell,1,0,0
Vikram,58,8,16
Mel Gibson,61,41,43
Mohammad Jawad,1,0,0
Charles Berling,98,6,2
Fumiyo Kohinata,165,1,1
Margarete Tiesel,44,1,1
Barbara Parkins,52,2,1
Charlie Rowe,13,0,0
Nikolaj Rasmussen,1,0,0
Jane Adams,66,6,4
Sylvia Kristel,59,1,1
Sarah Butler,33,2,0
Anand Patwardhan,2,0,0
Maï Anh Le,22,0,0
Nathan Lane,85,27,11
Fred Ward,88,2,3
Michelle Nolden,77,4,1
Madonna,101,98,44
Ed Helms,75,11,5
Robin Williams,108,86,64
Chris Tucker,21,24,8
Max von Sydow,163,25,26
Lee Min-ki,21,1,1
Allan Sherman,5,0,0
Jim Caviezel,42,6,4
Sharon Stone,145,36,24
Rosanna Arquette,150,9,10
Géza Röhrig,8,7,3
Carmen Maura,155,25,41
Akira Terao,56,3,4
Kitana Kiki Rodriguez,1,6,1
Daniel J. Travanti,99,15,6
Melanie Griffith,83,21,13
Mireille Darc,77,1,1
Ben Affleck,70,110,73
Martin Sheen,255,62,29
Robert Englund,162,5,4
Michael Biehn,106,2,3
Danielle Panabaker,54,6,3
Aneurin Barnard,38,1,2
Paz de la Huerta,50,1,1
Shelley Long,85,16,8
Charlotte Henry,32,0,0
Paul Eenhoorn,40,2,2
Marisa Tomei,79,53,25
David Thewlis,95,12,8
Stephen McGann,26,0,0
Daniel Schlachet,2,0,0
Kristanna Loken,50,5,3
Cyril Raffaelli,13,1,0
Freddie Highmore,36,30,14
Kelly Macdonald,52,35,20
Raimondakis,1,0,0
D. B. Sweeney,103,1,14
Kestie Morassi,36,2,1
Forest Whitaker,126,56,56
Angela Redman,4,0,0
Charlie Chaplin,89,7,21
Christopher Walken,133,35,23
Amanda Peet,68,7,2
Jack Nicholson,77,104,87
John Neville,108,2,0
Macaulay Culkin,35,7,5
Kim Hye-na,21,1,1
Emmanuelle Vaugier,106,1,1
Jeremy Renner,55,59,35
Claire Trevor,87,5,4
Carlo Cecchi,32,6,3
Jesse Lee Soffer,27,5,0
Cyndi Williams,47,1,1
Ellen Page,51,66,44
Matthias Hungerbühler,13,0,0
Ivo Pietzcker,3,1,1
Bradley Cooper,65,69,34
Zooey Deschanel,56,37,10
Andrew Jacobs,5,0,0
Harry Connick Jr.,29,8,2
Nargess Mamizadeh,1,1,1
John Malkovich,117,43,27
Ethan Hawke,78,118,30
Ross Noble,7,0,0
Farrah Fawcett,65,23,16
Chow Yun-fat,115,27,9
Laura Linney,68,91,42
Andy Warhol,14,0,0
"""Gail OGrady""",100,8,4
Danny Denzongpa,208,2,2
Kiefer Sutherland,97,59,21
Sumi Shimamoto,98,0,0
"""Taavale""",16,0,0
Adrienne Pickering,24,0,0
Bel Powley,24,15,5
Leon Robinson,77,4,1
Óscar Jaenada,62,9,15
Gemma Arterton,45,9,2
Robert Loggia,235,8,7
Indira Varma,66,1,1
Richard Grieco,77,1,1
Roddy McDowall,264,4,5
Seann William Scott,50,8,5
Maccio Capatonda,20,2,0
Mel Brooks,56,31,24
Ellen Burstyn,160,56,36
Angela Bettis,44,5,5
Ian Holm,141,23,21
Mariel Hemingway,61,8,3
Brenda Myers-Powell,1,0,0
Noomi Rapace,45,18,14
Vytautas Kaniušonis,11,1,1
Stanley Baker,78,2,1
Masako Nozawa,193,0,0
Carol Kane,153,10,6
Dylan McDermott,57,19,3
Jason Behr,28,4,1
"""Jodi Lyn OKeefe""",50,1,1
Randy Norton,7,0,0
Martin Freeman,83,31,10
Melissa McCarthy,51,75,26
Dakota Johnson,29,12,9
Catherine Hicks,62,4,3
Claude Perron,51,0,0
Neil Dudgeon,66,1,0
James Allen McCune,19,0,0
Jake Gyllenhaal,50,97,37
Zhang Hanyu,32,7,8
Dennis Alwood,4,0,0
_ahan Gökbakar,11,0,0
Cecilia Cheung,39,9,4
Blanchard Ryan,22,1,2
Dan Futterman,29,24,11
Chris J. Murray,10,0,0
Lloyd Bridges,218,4,4
Aleksandr Abdulov,94,3,4
Geno Lechner,65,1,1
Luke Evans,40,5,1
Stathis Papadopoulos,5,0,0
Ulrich Mühe,73,8,17
Anne-Marie Loop,12,0,0
Zana Marjanovi_,21,0,0
Amy Seimetz,70,16,6
Annika Marks,36,2,4
Jack Nance,39,0,0
Ian Carmichael,81,0,0
Tim Balme,29,1,4
Karra Elejalde,73,5,9
Chris Phillips,46,0,0
Tar_k Akan,85,1,0
Tyrone Power,52,1,2
Resmine Atis,13,0,0
Peter Liapis,23,0,0
Burt Reynolds,186,29,35
Michael Ealy,48,12,4
Antonio Banderas,110,41,41
Dennis Miller,99,0,0
Jean Marais,94,5,4
Lena Headey,78,41,6
Lily James,25,4,3
Ayesha Dharker,35,1,1
Raquel Welch,68,7,4
Jack Mulhall,447,1,1
Tom Cullen,27,4,4
Kazuki Kitamura,140,0,0
Martine Carol,50,0,0
Nikohl Boosheri,19,5,5
Jared Leto,50,36,50
Mohammad Amir Naji,25,2,2
Daniel Craig,73,31,15
Tim Haars,25,6,6
Alec Guinness,63,20,29
Mick Partridge,1,0,0
Sonny Chiba,199,3,2
Martijn Lakemeier,28,4,4
Bai Baihe,23,7,5
Moon Jeong-hee,2,0,0
Alan Alda,66,61,41
Sonam Kapoor,21,14,12
Hideo Sakaki,72,3,1
Aaron Abrams,73,2,2
Adriana Caselotti,5,0,0
Tom McGrath,25,11,3
John Cameron Mitchell,34,34,28
Ray Milland,177,3,7
Sinbad,46,4,1
Craig Sheffer,80,0,0
Emilia Clarke,18,36,7
Robert Taylor,67,0,0
Glenn Close,84,93,58
Natasha Lyonne,95,8,6
Noah Schnapp,12,4,2
Dmitriy Sharakois,14,0,0
Hamish Linklater,43,3,1
Aaron Eckhart,44,18,8
Matt Bennett,29,0,0
Spencer Klein,19,2,0
Christopher George,1,0,0
Ki_u Chinh,66,1,1
Silambarasan,27,1,1
Elizabeth Reaser,42,4,4
Walter Pidgeon,137,6,6
Marques Houston,25,2,1
Michael B. Jordan,45,40,23
Helen Mirren,131,125,123
Gene Wilder,37,10,7
Scott Walker,33,0,0
Geena Davis,48,30,10
Jon Prescott,37,0,0
50 Cent,60,21,3
Mickey Rooney,336,12,21
Christopher Plummer,215,63,46
Ha Jung-woo,33,20,15
Heather Beers,21,1,1
Barry Newman,53,2,1
Evan Glodell,3,4,3
Tim Meadows,83,2,2
Andy García,95,26,17
Howard Duff,138,1,1
Bill Paxton,97,23,10
Lilith Stangenberg,22,2,1
Barbara Hershey,101,21,16
Christopher Reeve,47,13,10
Jack Huston,40,4,8
François Cluzet,104,15,7
Mary Costa,11,2,1
Bill Murray,88,79,54
Drago_ Bucur,49,6,6
Abi Van Andel,14,0,0
Nicholas Gonzalez,85,0,0
Sterling Holloway,181,3,2
Lana Turner,60,6,5
Nilbio Torres,1,0,0
Maya Bulgakova,129,1,1
Miki Nakatani,64,6,6
Natalie Press,39,9,4
Edward Burns,35,5,10
Anamaria Marinca,45,10,12
"""Kieran OBrien""",79,1,0
Micheal Catalano,1,0,0
Michael Redgrave,75,3,4
Gad Elmaleh,52,1,1
Kim Darby,85,4,2
Toshiaki Karasawa,56,1,2
Türkan _oray,203,7,7
Steven Strait,17,1,0
Viggo Mortensen,57,93,35
Franchot Tone,112,2,2
Traci Lords,1,0,0
Lew Ayres,155,2,4
James Arnold Taylor,243,17,4
Michael Rapaport,113,10,5
Maggie Smith,85,97,46
Georgina Cates,25,1,0
Louise Brooks,24,0,0
Jeanne Moreau,146,10,22
Gabriel Damon,47,6,0
Tate Donovan,108,12,5
Shailene Woodley,34,69,37
Liv Ullmann,58,22,52
Hani Adel,21,0,0
Matthew Broderick,77,15,4
Rowan Atkinson,70,15,7
Rene Russo,29,28,5
Stacy Keach,211,9,7
Terry Jones,53,5,4
Tom Everett Scott,78,3,1
Efim Petrunin,14,0,0
Justin Whalin,32,5,1
Varun Dhawan,17,6,10
Michael Legge,30,2,1
Elena An,2,0,0
Zac Efron,56,32,30
Sean Young,123,6,3
Gaspard Schlatter,1,0,0
Brian Keith Allen,22,1,1
John Ritter,134,18,6
Paul Newman,85,67,37
John Krasinski,47,25,10
Vera Farmiga,56,77,19
Barry Pepper,53,16,8
Alexander Nathan Etel,5,5,0
Audie Murphy,50,1,2
Marla Sokoloff,60,3,0
Nathaniel Brown,4,0,0
Robin Shou,43,0,0
Haruhiko Katô,31,0,0
Kate Mara,64,5,3
Zhao Benshan,15,4,1
Judy Garland,40,9,8
Christopher Severio,13,0,0
Jensen Ackles,24,18,5
Cher,36,54,35
Teo Halm,9,0,0
Siddharth,34,4,1
Armin Mueller-Stahl,139,7,26
Gene Barry,88,3,3
William Moseley,25,3,1
Désirée Nosbusch,63,3,0
Andreas Lust,73,7,1
Jeff Chandler,52,4,2
Luke Kirby,50,5,0
Kodi Smit-McPhee,29,23,3
Edward Furlong,67,6,3
William H. Macy,137,65,42
Emile Hirsch,53,25,6
Barbara Harris,28,7,1
Jason London,124,2,2
Eddie Murphy,56,73,33
Stephen Moyer,62,8,4
Jason Ritter,104,7,2
Vera Brezhneva,9,3,0
Kristy Swanson,85,6,1
Seth Rogen,92,34,12
Patsy Garrett,33,1,1
Crusoe Kurddal,4,1,1
Luke Treadaway,42,2,0
Adelaide Clemens,30,1,0
Tim Ogletree,6,0,0
Jean-Claude Van Damme,71,9,2
Craig T. Nelson,85,16,9
Guillermo Díaz,91,7,1
Larry the Cable Guy,28,7,1
Diego Abatantuono,84,11,6
Stuart Whitman,188,3,4
Parminder Nagra,42,7,2
Tenzin Thuthob Tsarong,1,0,0
Frank Whaley,112,4,5
Charlie Cox,37,5,1
Greg Evigan,111,0,0
Chaney Kley,14,0,0
George Bancroft,1,0,0
Lacey Chabert,139,16,6
Kane Hodder,130,4,4
David Keith,298,18,6
Ken Tanaka,52,3,3
Y_lmaz Erdo_an,25,4,4
Alexandra Daddario,54,5,1
Ioan Gruffudd,75,5,2
Fabio Volo,13,3,1
Eric Mitchell,20,0,0
Maximilian Schell,112,18,21
Leelee Sobieski,44,10,5
Zoe Weizenbaum,5,2,1
Hayley Orrantia,7,1,0
Debbie Reynolds,87,37,20
LisaRaye McCoy,33,1,0
Choi Min-sik,28,12,21
Sam Worthington,51,17,6
