directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Neal Israel,41,1,1
Kim Longinotto,21,20,33
Alexander Mackendrick,12,3,3
Vipul Amrutlal Shah,9,1,1
Xu Zheng,1,1,0
S.R. Bindler,3,3,3
Leslie Norman,22,1,0
Rick Hauser,7,0,0
E.L. Katz,5,4,7
Mark Osborne,17,9,17
Larry Blamire,6,2,1
Herbert Wise,91,5,3
Gordon Chan,32,12,7
Artie Mandelberg,1,0,0
Lance Hool,4,1,0
Jake Paltrow,10,4,1
Dan Ireland,10,3,4
Éric Besnard,7,0,0
Gérard Krawczyk,17,5,1
Ayan Mukherjee,3,11,2
Joseph Kosinski,6,1,0
Arman Gevorgyan,4,0,0
Sergey Ivanov,1,1,0
Bill Wilson,1,0,0
Mike Mitchell,15,5,5
Justin Barber,2,3,0
Samuel Armstrong,6,1,1
William Sachs,12,1,3
Michael Lehmann,48,7,4
Mike Gunther,11,5,5
Galt Niederhoffer,4,0,0
Franc Roddam,13,3,1
Michael Cimino,8,14,14
Dick Huemer,35,2,2
Matthew Cole Weiss,5,1,1
Callie Khouri,4,6,8
Rajkumar Santoshi,18,6,9
J. Searle Dawley,182,0,0
Joe Ahearne,16,7,7
Claude Friese-Greene,7,0,0
Garry Marshall,30,14,18
Melissa Martin,1,0,0
Daniel Calparsoro,19,5,3
Josh Boone,5,1,2
Roy William Neill,110,0,0
Steven Soderbergh,42,81,29
Kirsten Johnson,6,27,16
Lone Scherfig,18,25,30
Chris Renaud,8,18,2
Ali Khamrayev,27,0,0
Lawrence Kasanoff,3,0,0
Jules Bass,44,2,2
David LaChapelle,51,2,4
John Badham,66,7,5
Arthur Hiller,76,6,12
Chris Nahon,7,0,0
Nina Gilden Seavey,8,3,2
Michael Berry,1,0,0
Jade Castro,10,12,3
Anthony Minghella,9,57,31
Atom Egoyan,40,75,61
Chuck Sheetz,1,0,0
Robert Zemeckis,30,37,34
Xavier Gens,12,5,1
Oksana Bychkova,6,8,4
Francis Lawrence,69,16,5
Vikram Bhatt,39,1,0
David Anspaugh,19,5,5
Michael Dinner,43,7,3
Jorge R. Gutierrez,7,3,3
Juan Carlos Fresnadillo,10,7,16
Curtis Harrington,37,1,1
Paul Abascal,23,0,0
Bob Gosse,4,2,1
Scott Walker,2,0,0
David Lynch,81,70,56
Tuck Tucker,6,1,1
Michael Schultz,110,3,4
Ted Kotcheff,48,6,5
Ericson Core,8,2,0
Ham Tran,6,1,9
Peter Sohn,2,6,0
